,time,latitude,longitude,depth,mag
90,1988-03-02T14:45:09.350Z,33.251,34.623,33.0,3.6
91,1988-01-30T03:00:00.000Z,32.16,35.44,10.0,4.1
92,1987-10-23T16:32:31.380Z,30.942,35.778,10.0,4.3
93,1987-10-18T01:05:41.860Z,29.521,35.187,10.0,4.7
94,1987-04-27T20:41:46.320Z,31.278,35.482,10.0,4.2
95,1985-01-25T06:08:03.820Z,31.899,35.503,31.3,4.6
96,1984-10-18T07:19:18.350Z,33.22,35.646,20.7,3.7
97,1984-08-24T06:02:24.550Z,32.739,35.094,24.3,5.3
98,1979-04-23T13:01:58.600Z,31.244,35.461,33.0,5.1
99,1956-12-18T17:53:06.180Z,31.522,35.487,15.0,5.67
100,1927-07-11T13:04:09.550Z,32.004,35.636,15.0,6.13
